"아굴절, 亞掘折, sub-refraction",,굴절 기울기가 표준 굴절 기울기보다 큰 굴절. 부분 굴절이라고도 한다. 이로 인해 전파 통로의 곡률 반지름은 표준 굴절의 경우보다 커지게 된다. →굴절률.
"이진, 二進, binary",,"2개의 서로 다른 값이나 상태를 취하는 것과 같은 선택, 조건 또는 특성 지어지는 것을 나타내는 용어."
"이진 변수, 二値變數, binary variable",,"2종류의 값만을 취하는 논리 변수. 두 값을 각각 1, 0으로 표시하고 명제의 참과 거짓, 전압 레벨의 고저, 접점의 개폐 등에 대응시킨다."
"이진 부호, 二進符號, binary code",,"어떤 값을 0과 1을 사용하여 나타내기 위한 부호 형식. 디지털 통신에 많이 사용된다. 자연 이진 부호(natural binary code), 그레이 이진 부호(gray binary code), 폴디드 2진 부호(folded binary code) 등이 있다."
"이진 산술 연산, 二進算術演算, binary arithmetic operation",,"디지털 컴퓨터에서 이진수의 피연산자들에 대한 덧셈, 뺄셈 등의 계산을 하여 이진수로 결과를 구하는 것."
"이진 셀, 二進-, binary cell",,기억 장치에서 2개의 안정 상태를 갖고 1비트의 정보를 보유할 수 있는 셀. 1개의 이진 셀을 사용하면 1비트의 정보가 기억될 수 있다.
"이진 찾기, 二進-, binary search",,"일정한 순서로 배열된 데이터 항목의 리스트(집합)를 2개 부분으로 되풀이하여 나누어서, 그 한 부분을 버리고 남는 부분을 탐색함으로써 목적하는 항목을 찾아내는 방법. 2분 탐색(dichotomuzing search)이라고도 한다. 이진 찾기에서는 오름순(ascending order)과 같이 알려진 순서로 배열된 항목의 리스트 내의 값과 비교할 수 있는 키가 필요하다. 찾기는 리스트 중간의 한 값과 키를 비교함으로써 시작한다. 키가 그 값보다 크면 리스트의 아랫부분을 버리고, 윗부분을 집중적으로 찾는다. 그 다음에 리스트를 다시 2등분하여, 반을 버리고 남는 반을 찾는다. 이와 같이 리스트 중간의 값과 키를 비교하는 동작을 목적하는 항목을 찾을 때까지 계속한다."
"이진 트리, 二進-, binary tree",동의어 : 이진 나무꼴,모든 노드의 차수(degree)가 2 이하인 트리. 즉 공집합이거나 1개의 뿌리 노드에서 왼쪽 서브트리와 오른쪽 서브트리로 구성된 유한 집합 구조를 말한다.
"이진 파일, 二進-, binary file",,"인간이 판독할 수 있는 텍스트로 구성된 문서 파일(text file)과는 달리, 이진수 데이터(8비트 데이터) 또는 실행 명령어들로 구성된 파일. 이진 파일은 프로그램만이 판독할 수 있는 형식으로 되어 있으며, 대부분의 경우 특정 프로그램이 판독하기 쉬운 형식으로 압축되거나 구조화되어 있다."
"이진 파일 전송, 二進-轉送, Binary File Transfer, BFT",,"원시 데이터 전송이 가능한 팩스 프로토콜. 페이지 전송은 비트맵 전송보다 속도가 빠르고, 정상 프린터 해상도로 전송된다."
"이진 표기법, 二進表記法, binary notation",,2를 기수로 하는 수의 표기법. 이진법에서는 0과 1밖에 사용하지 않으므로 기계 내에서 수를 취급하는 데는 적합하나 기계 외부에서 이진법으로 표시하면 0과 1의 긴 열이 되므로 팔진법이나 십육진법으로 나타내는 것이 편리하다.
"이진화 십진 표기법, 二進化十進表記法, Binary-Coded Decimal Representation, Binary-Coded Decimal Notation, BCD",,십진법에서의 각 십진 숫자를 이진 숫자로 나타내는 방식. 무게가 8-4-2-1인 이진화 십진 기수법에서의 수 23은 0010 0011로 표현된다(순 이진 기수법에서의 표현 10111과 같다). 컴퓨터 내부에서의 수의 표현에는 보통 이진 기수법이 사용되지만 이진화 십진법이 사용되는 경우가 많다. 이진화 십진 표기법을 사용하는 컴퓨터에서는 십진수가 그대로 계산될 수 있다. 이진화 십진 부호(binary-coded decimal code)나 이진화 십진 법(binary-coded decimal notation)과 같은 의미로 사용된다.
"이질 누화, 異質漏話, Alien crosstalk, ATX",,인접한 다른 케이블로부터 발생한 케이블 전기 잡음. 선로나 회로 간의 누화가 아니라 다발로 된 케이블 간의 누화라는 뜻으로 이질 누화라 한다. 단순한 선로 간 누화와 달리 복합 신호와 원래 신호가 복잡하게 혼합되어 있어 위상 감쇄 기법으로 해결할 수 없는 특수한 잡음이다. 이질 누화도 잡음이기 때문에 신호 대 잡음(S/N)비를 악화시켜 통신의 질을 떨어트린다. 이질 누화의 영향을 줄이기 위해 케이블을 차폐시키는 방법이 있지만 비용이 많아지고 단위 길이당 케이블 손실도 따라 증가한다.
"이차국, 二次局, secondary station",,"주국이 데이터를 전송하거나 데이터의 전송을 요구해 온 경우에만 주국과 데이터를 주고받을 수 있는 국. 예를 들면, 컴퓨터에 단말이 연결되어 있는 경우 컴퓨터는 주국이 되며 단말은 이차국이 된다."
"이차 정보, 二次情報, secondary information",,"정보 검색에서, 일차 정보로부터 검색에 쓰이는 항목만을 빼내어 새로이 작성한 정보."
"이천년 문제, 二千年問題, Year 2000 Problem, Y2K",,"연도를 끝의 두 자릿수만으로 다루는 컴퓨터 시스템이 서기 2000년 이후의 날짜를 올바로 처리할 수 없어서 발생할 것으로 예상된 문제. 컴퓨터 보급 초기인 1970~1980년대에는 세기말이 먼 미래의 일처럼 보였으며 메모리와 디스크가 고가였기 때문에 그 사용량을 최소화할 목적으로 날짜를 기록할 때 연도의 끝 두 자리만 기록하고, 읽을 때 앞에 ‘19’를 붙여 표시하도록 했다. 예를 들면, 1988년 1월 15일은 ‘88:01:15’로 기록하고 1988년 1월 15일로 인식하도록 설계했다. 그런데 2000년 1월 15일이 ‘00:01:15’로 기록되어 1900년 1월 15일로 잘못 인식되는 등 2000년 이후 관련 전산 자료 처리 시에 1900년대와의 구분이 불가능하여 연도 표시나 기간 산정, 순위 결정 등 연도를 참조하는 작업에 엉뚱한 결과와 혼란이 야기될 수 있다. 따라서 날짜를 오인한 컴퓨터 시스템이나 응용 프로그램 때문에 세무/호적/주민 등록 관리 등 행정 업무, 은행/증권/보험 등 금융 업무, 항공기/기차/선박 등의 운항 관리 업무 등 많은 부문에 혼란과 어려움이 일어날 가능성이 컸다. 또한 2000년은 4년마다 한 번씩 돌아오는 윤년(leap year)인데, 윤년이 아닌 1900년은 2월 28일 다음 3월 1일로 넘어가도록 설계되어 있지만 2000년은 2월 29일까지 날짜가 있다. 따라서 2000년 2월 29일을 윤년이 아닌 1900년으로 인식한 컴퓨터는 2000년 2월 29일을 처리할 수 없다. 이와 같은 이천년 문제를 흔히 밀레니엄 버그(millenium bug)라고 불렀는데, 2000년대와 1900년대를 구분할 수 없는 것이 새로운 천년(millenium)이 시작되는 2000년 이후의 컴퓨터 시스템이나 프로그램 오동작의 원인이 되는 버그(bug)가 될 것이기 때문이었다. 해결 방법으로는 데이터 파일의 연도 필드를 두 자리에서 네 자리로 확장하는 이른바 데이터 접근 방법, 두 자리 연도를 네 자리 연도로 해석하도록 프로그램 코드를 수정하는 논리 접근 방법 등 여러 가지가 사용되었고, 전 세계적으로 막대한 비용과 시간이 소요되었다."
"이커버, Electronic cover, E-cover",,"전자 여권을 구성하는 핵심 자재. 칩(Chip), 운영 체계(OS), 전자 여권 안테나(Inlay), 표지(Cloth) 들로 구성되어 있다."
"이코노스, IKONOS",,"1999년 9월 24일에 발사된 미국 Space Imaging사의 상업용의 지구 관측 위성. 현재 상용화되어 있는 것 중 세계 최고 해상도로 공간 해상도가 1m이고, 4m의 다중 분광 영상도 획득이 가능하며, 입체 영상을 이용하여 수치 표고 모형(DEM) 추출이 가능하다. 위성 고도는 680km, 관측 주기는 2일, 관측 폭은 13km×13km로서, 현재 전 세계는 물론 한반도 지역의 영상을 송신하고 있다."
"이클립스, eclipse",,"공개 소프트웨어 기반의 범용 응용 소프트웨어를 위한 통합 개발 플랫폼. 비영리 공개 소프트웨어 커뮤니티에 의해서 제공되는 개방형 개발 플랫폼으로써 확장 가능한 프레임워크, 툴, 실시간 소프트웨어 생성, 설치, 관리 등에 역점을 둔다. 시/시 플러스 플러스(C/C++) 언어, 자바, 안드로이드 등 다양한 프로그래밍 언어를 지원하며 그래픽 기반의 도구 생성 기능을 플러그인 형태로 제공한다. 아이비엠(IBM)사가 공개한 웹스피어 스튜디오 애플리케이션 디벨로퍼(WebSpheare Studio Application Developer)의 엔진 부분에 기반을 두고 있으며 이클립스 재단에서 의해서 C/C++ 개발자용, 자바 개발자용, 웹 개발자용 등 다양한 버전으로 개발되어 배포된다."
"이탈, 離脫, departure",,"교환선군에서 호가 소멸되는 것. 호의 목적이 달성되기 전에 이탈이 발생하는 경우도 있고, 종료가 이탈을 의미하지 않는 것도 있다."
"이트러스트 인증, -認證, electronic Trust authentication, eTrust authentication",,"웹사이트의 소비자 보호와 개인정보보호정책 그리고, 구매 모든 과정을 공정하고 엄격하게 심사하여 소비자가 믿고 거래할 우수 전자상거래사업자에게 부여하는 인증 제도. 다양한 형태의 전자상거래가 급증함에 따라, 전자상거래의 사전 예방을 위해 eTrust 인증을 통한 온라인 거래의 안전성과 편리성을 완성하고 있다. ☞누리집: eTrust 인증 https://www.etrust.or.kr"
"이티즌, etizen",,인터넷에 접속할 수 있는 모든 기기를 통해 정보를 구매하고 소비하는 사람들. 주로 정보를 목적으로 인터넷을 이용하는 네티즌이나 모바일의 모티즌에 이어 등장한 용어로 인터넷을 이용해 정보 구매는 물론 유료 사이트에도 적극 가입해 필요한 정보를 얻기도 한다. 또한 이티즌은 기존의 시민의 역할을 인터넷에서 구현하는 사람들을 일컫기도 하며 e-소사이어티(가상 공동체)를 만드는 주역이 되고 있다.
"이퍼브(EPUB), Electronic PUBlication, EPUB",,"국제 디지털 출판 포럼(IDPF, International Digital Publishing Forum)에서 제정한 전자 출판물 표준. 이퍼브(EPUB)의 파일 형식은 내용의 구조를 정의하는 공개 출판 구조(OPS: Open Publication Structure), 문서 구조 등을 정의하는 공개 패키징 포맷(OPF: Open Packaging Format), 문서들을 집(ZIP) 압축 파일로 묶어 배포하기 위한 공개 컨테이터 포맷(OCF: Open Container Format) 3개로 구성되어 있다. 2011년 제정한 이퍼브(EPUB) 3.0은 하이퍼텍스트 마크업 언어 HTML5를 수용하여 웹브라우저 엔진 기반의 전자책 뷰어를 통해 개인용 컴퓨터, 스마트폰, 태블릿 PC 등 다양한 기기의 특성에 적합한 기능과 단행본, 학습 교재, 잡지, 신문, 만화 등에도 광범위하게 활용할 수 있도록 설계되었다."
"이펙터, effector",동의어 : 효과기,"오디오나 비디오 영상 신호에 인위적으로 변화를 주어 원신호에는 없었던 다양한 효과를 연출하는 장치. 오디오용 이펙터의 대표적인 기능으로는 딜레이(delay), 코러스(chorus), 이퀄라이저(equalizer), 리버브(reverb), 플랜저(flanger), 페이저(phaser), 피치시프트(pitch-shift), 트레몰로(tremolo), 디스토션(distortion), 오버드라이브(over drive) 등이 있다. 최근에는 전자 회로 기술의 발달과 소형화에 따라 1대의 이펙터로 동시에 복수의 효과를 줄 수 있는 멀티이펙터(multi effector)가 주류를 이루고 있다."
"이피디지, enhanced Packet Data Gateway, ePDG",,"사용자가 모바일 기기로 신뢰할 수 없는 와이파이망 등을 통해 이동통신망에 접근할 때 데이터 트 래픽 보호를 위해 종단간 인증, 암호화 등의 보안기능을 제공하는 망 연동 기술. 스마트 네트워크를 구현하기 위한 핵심 기술 중 하나로 와이파이망 보안성과 사용성을 확보하기 위한 기술이. LTE망에서 이루어지는 각종 서비스가 와이파이를 통해서도 가능해 통신비·트래픽을 줄일 수 있다."
"이항 연산자, 二項演算子, dyadic operator, binary operator, infix operator",,"①2개뿐인 연산자에 대한 연산을 표시하는 연산자. ②2개 항 사이의 연산을 정의하는 연산자. ＋, *, EQ, AND 등이 있다."
"이행성, 移行性, transitive",,"집합의 세 원소 a, b, c에 대해 a R b와 b R c 관계가 성립하면 a R c의 관계도 성립되는 것."
"이행성 규칙, 移行性規則, transitivity rule",,"X, Y, Z를 U의 부분 집합이라 할 때 X≥Y, Y≥Z이면 X≥Z라는 것을 뜻하는 규칙."
"익명 서비스, 匿名-, anonymizer, web anonymizer",,"IP 주소와 같은 정보 교환 없이 방문자가 웹 사이트에 접근할 수 있게 하는 프라이버시 서비스. 프라이버시 보호와 방문 접근 제한 프로그램을 우회하기 위한 것으로 IP 주소 마스킹, 팝업 윈도 억제, 쿠키 작성 억제, 사용자 개요 작성자 정보 수집 등 서비스가 있다. 하이퍼텍스트 전송 규약(HTTP)을 처리하는 프락시 서버 웹 사이트로서 웹 페이지 링크 요구에 따라 정보를 검색하고, 상대 서버에 익명 서버 정보를 보낸다."
"익명 인증, 匿名認證, anonymous authentication",,"정보 서비스 이용자의 신원을 확인할 수 있는 식별자를 노출하지 않고 정당한 서비스 이용자임을 증명하는 일련의 절차. 일반적으로 법적 분쟁과 같은 특수한 상황에서는 신뢰 기관의 협력을 통해 신원을 추적할 수 있는 기술적 조치를 포함한다. 사용자는 개인 정보를 노출시키지 않는 장점을 누리는 반면, 서비스 제공자는 악성 댓글이나 욕설이 게시되었을 때 해당 사용자의 신분을 파악할 수 있다. 익명 인증은 전자 화폐, 전자 투표, 전자 게시판 등 익명성이 필요한 분야를 중심으로 사용된다."
"익명 파일 전송 규약, 匿名--傳送規約, anonymous File Transfer Protocol, anonymous FTP",,"익명 FTP 서버에 로그인하여 FTP를 실행하는 것. 컴퓨터 간에 파일을 전송할 때 사용하는 파일 전송 규약(FTP)에 의해 파일을 주고받는 기능을 담당하는 주 컴퓨터가 FTP 서버이다. 인터넷에서는 대부분의 FTP 서버가 공개되어 있기 때문에 거기에 축적된 파일을 누구든지 입수할 수 있다. 이 공개된 FTP 서버를 익명 FTP 서버라고 하며, 누구든지 계정 없이도 anonymous 또는 ftp라는 로그인명으로 그 호스트에 대해서는 FTP를 실행할 수 있는데 이것을 익명 FTP라고 한다. 암호는 필요 없으며 사용자의 전자 우편(e-mail) 주소를 입력하면 된다. 로그인한 다음에는 자유로이 파일에 접근할 수 있다. 무료 소프트웨어(freeware)나 문서 등을 공급하는 수단으로 사용된다."
"익명 파일 전송 규약 서버, 匿名-傳送規約-, anonymous File Transfer Protocol server",,"인터넷에서 컴퓨터 간에 파일을 전송할 때 사용하는 파일 전송 규약(FTP)에 의해 파일을 주고받는 기능을 담당하는 호스트. FTP 서버에는 각종 데이터나 화상, 컴퓨터 프로그램, 게임 등 다양한 파일이 축적되어 있다. 인터넷에서는 대부분의 FTP 서버가 공개되어 있어서 거기에 축적된 정보를 누구든지 입수할 수 있다. 이 공개된 FTP 서버를 익명 FTP 서버라고 한다. 익명 FTP 서버는 인터넷상의 도서관 또는 자료관이라고 할 수 있다. 유명 서버 중에는 수십 GB의 방대한 자료를 갖고 있는 것도 있다. 익명 FTP 서버들이 있는 사이트와 각 사이트에 있는 파일의 디렉터리를 검색할 수 있게 하는 검색 엔진으로는 아키(Archie), 고퍼(Gopher) 등이 있다."
"익사이터, 勵振機, Exciter",,"①무선 송신기에서 종단의 전력 증폭기에 필요한 여진 전력을 공급하는 증폭 장치. ②교류 발전기에 계자 전류를 공급하기 위한 소형 직류 발전기. 여자기라고도 한다. ③공동 공진기 또는 도파관 내에 에너지를 공급하기 위해 내부에 돌출한 프로브 또는 루프 안테나. ④팩스, 광전관, 필름 녹음 들에 사용되는 고휘도 백열 전구, 즉 익사이터 램프."
"익스체인지, Exchange",,"미국 마이크로소프트사가 개발한 그룹웨어 소프트웨어. 윈도즈 NT상에서 가동하는 ‘Exchange Server’를 서버 소프트웨어로 하고, 클라이언트로는 MS 윈도즈의 표준 장비가 된 ‘Exchange’가 이용될 수 있다. ‘MS Office 97’과 맥을 같이하는 ‘MS Outlook 97’도 클라이언트 소프트웨어로 이용할 수 있다. 전자 우편, 일정 관리, 전자 회의, 전자 게시판 및 문서 데이터 등의 기능을 가지고 있다. 최신판은 인터넷이나 인트라넷에 대응이 강화되어 웹 브라우저로도 이용할 수 있다."
"익스체인지 가상 서버, -假想-, Exchange Virtual Server, EVS",,"익스체인지(Exchange 2000/2003) 클러스터에 있는 가상 서버. 하나의 자립형 서버로, 장애 복구 장치이다. 클러스터 장애가 발생할 경우 익스체인지 가상 서버(EVS)는 오류가 발생한 클러스터에서 나머지 클러스터 중 하나로 이동된다."
"익스체인지 회의 서버, -會議-, Exchange Conferencing Server, ECS",,"인트라넷과 인터넷에서 종합적인 회의 일정과 관리 서비스를 데이터, 비디오, 오디오를 통해 제공하는 플랫폼. 이를 사용함으로써 회의 경비를 절약하고 생산성을 향상시킬 수 있으며, 지식 전문가를 위해 언제, 어디서나 공동 회의가 가능하다."
"익스트림 프로그래밍, Extreme Programming, XP",,"고객 만족을 강조하여 고객의 요구 변화에 부응하는 소프트웨어 개발 방법. 의사 소통, 단순성, 피드백, 용기 등 네 가지 가치와 팀워크, 관리자, 고객에 초점을 맞춰 각 개발자들이 전체적인 맥락에서 질적인 소프트웨어 개발에 전념하도록 한 것이다. XP 프로그래머는 고객 및 동료들과 의사 소통을 하고, 프로그램을 단순ㆍ투명하게 하며, 시험을 통해 피드백을 수행하고, 가능한 빨리 고객에게 시스템을 전달하도록 한 것이다. 많은 퍼즐 조각처럼 개별적으로는 별 의미가 없지만 하나로 합쳐지면 완전한 그림을 볼 수 있다는 데서 시작된 것으로 요구 사항이 많거나 잦은 변화가 예상되는 프로젝트를 하는 경우에 소규모의 개발팀으로 공간 공유의 높은 효과를 볼 수 있다."
"익스파이어웨어, expireware",,사용 횟수나 기한을 정해 놓은 소프트웨어. 일정 기간 동안 사용해 보고 계속 사용하기 원하는 경우에만 정식 등록을 통해 구입할 수 있는 공유웨어로서 사용 기간에 제한이 있다. 프리웨어와 더불어 가장 많이 채용되는 방식이다.
"익스프레스카드, ExpressCard",,PCI 익스프레스에 기반을 둔 새로운 PC 확장 카드 표준. 기존의 국제 개인용 컴퓨터 메모리 카드 협회(PCMCIA) 카드를 더 작고 빠른 플러그인 모듈로 대체한 것이다. 이 규격은 데스크톱 컴퓨터의 규격인 USB 2.0과 PCI 익스프레스 인터페이스 기반으로 만들어져 속도가 매우 빠르며 크기가 작은 것이 특징이다.
"익스플로잇 공격, -攻擊, exploit",,"컴퓨터나 컴퓨터 관련 전자제품의 보안 취약점을 이용한 공격 방법. 취약점 공격은 주로 공격 대상 컴퓨터의 제어 권한 획득이나 서비스 거부 공격(DoS) 등을 목적으로 한다. 취약점 공격에는 보안 취약점의 종류에 따라 BOF 취약점 공격, CSRF 취약점 공격, XSS 취약점 공격 등이 있다."
"인가, 認可, authorization",,"특정한 프로그램, 데이터 또는 시스템 서비스 등에 접근할 수 있는 권한이 주어지는 것. 기밀 보호를 목적으로 데이터나 프로그램 등 외부에서 접근하는 부분에 비밀 열쇠 잠금 장치를 하여, 인가를 받지 않으면 임의로 접근할 수 없도록 되어 있으며, 주어진 패스워드 등의 열쇠를 사용하여 특정 서비스를 받을 수 있다."
"인가 내부 코드, 認可內部-, Licensed Internal Code, LIC",,"IBM사가 자사 특정 컴퓨터에 제공하는 인가된 컴퓨터 코드. IBM사는 인가 내부 코드(LIC) 및 복사본에 대한 모든 저작권을 소유하고 있으며, LIC는 제공 동의서에 의해 사용된다. 그의 규격에서 정한 기능의 사용만이 가능하고, IBM사가 인가하거나 유료 제공하는 복사 용량 및 기능에 대해서만 사용이 가능하다. IBM 동의서는 사용 기간과 조건을 다양한 언어로 규정하고 있고, 필요한 언어를 선택하여 라이선스 동의서를 내려받기할 수 있다."
"인가된 사용자, 認可-使用者, authorized user",,보안 정책에 기술된 어떤 일을 하기 위해 특정한 권리나 허가권을 가진 사용자.
"인가 무선 대역폭, 認可無線帶域幅, authorized bandwidth",,"방사 전력의 99%가 포함된 것과 같은 주파수 대역폭으로, 무선국 허가 시 지정되는 대역폭. 점유 주파수 대역폭과 동의어이다. 허가 시는 혼신을 최소화하기 위해서 그 통신에 필요한 최소의 대역폭을 지정하도록 되어 있기 때문에 필요 주파수 대역폭이라 할 수도 있으나 엄밀한 의미로는 다르다. 즉 인가 대역폭은 필요 대역폭보다 넓다고 할 수 있다."
"인가 부호, 認可符號, authorization code",,컴퓨터 시스템에 접근할 수 있는 권한을 얻기 위해 사용되는 식별 번호나 패스워드.
"인간 공학, 人間工學, ergonomics",,"인간과 작업 환경과의 관계를 규명하고 그것을 바탕으로 하여 인간의 특성에 적합한 시스템을 구성하기 위한 방법론. 영상 표시 단말(VDT) 작업의 증가에 따라 개인용 컴퓨터(PC)나 문서 처리기 등의 설계에 이용되는데, 키보드나 음극선관(CRT) 등 하드웨어는 물론 화면 표시 방법 등에도 적용된다. 인간의 체형이나 동작 등 인간의 기본 특성을 고려하여 사용의 편리성, 작업 환경, 운용 관리 등 종합적인 관점에서 인간을 중심으로 하는 기기와 시스템의 확보를 추구한다. 최근에는 미국, 유럽, 일본 등 선진국에서 국제 표준화 기구(ISO) 산하 기술 위원회 TC-159를 중심으로 인간 공학의 국제 표준화 작업을 본격적으로 추진하고 있으며, 일부 국가에서는 인간 공학 표준을 기존의 제품 안전 및 품질 규격과 연계하여 수입품에 대한 규제 장치로 활용할 움직임도 있다. ISO가 추진하는 인간 공학 표준화는 공산품의 설계, 생산에 인간 중심의 시스템 확보 여부를 평가하는 기준을 정하는 것으로 ㉠인간의 기본 특성에 대한 표준, ㉡인체 측정학 및 생체 역학적 표준, ㉢인간과 기계 설비와의 인터페이스, ㉣작업 환경 등으로 나누어져 검토되고 있다."
"인간 공학적 키보드, 人間工學的-, ergonomic keyboard",,"오랜 시간 키보드에서 작업한 결과로 발생하는 손과 손목의 피로 등 유해한 증상을 감소하거나 제거하도록 설계된 키보드. 키들이 직선으로 배열된 수동 타자기를 본떠서 설계된 대부분의 키보드는 타자기의 기계적 구조의 제약 사항을 바탕으로 했기 때문에 사용자의 두 손이 부자연스러운 위치에 놓이게 되는 문제가 있다. 이런 제약에서 벗어나 사용자가 쓰기 편하도록 키의 배치나 구조를 개선한 키보드인데, 그 특징은 제작 회사와 모델에 따라 다양하다."
"인간·기계 언어, 人間機械言語, Man-Machine Language, MML",,"전자 교환기의 보수, 운용 등을 위해 인간과 기계 간 대화용 언어. 전자 교환기 제어용의 단말로부터 인간이 지령하는 명령문과 교환기로부터의 출력 메시지문 등을 표준화한 것으로 ITU-T 고급 언어(CHILL), 사양 기술 언어(SDL)와 함께 ITU-T에서 권고되었다."
"인간·기계 체계, 人間機械體系, man-machine system",,"인간과 기계가 서로 합쳐서 구성되는 시스템. 인간의 특성과 기계 특성의 융화로 조작성, 안정성, 저피로성(低疲勞性)의 추구나 시스템 종합 특성의 향상, 거대 시스템에서 인간 소외 등의 문제를 논한다."
"인간·로봇 상호 작용, 人間-相互作用, Human-Robot Interaction, HRI",,"작업을 수행하기 위해 인간과 로봇 사이의 사용자 인터페이스(human-robot interface)를 통하여 정보와 동작을 교환하는 것. 음성, 시각, 촉각의 수단을 통해 정보 교환을 한다."
"인간 중심 인터페이스, 人間中心-, Human-Centric Interface, HCI",,사람과 기계 사이의 인터페이스를 사람과 사람 사이처럼 자연스럽게 해주는 모든 기술. 다시 말해 사람과 이야기하듯 기계와 자연스럽게 대화할 수 있는 기술을 말한다. 입출력 장치의 고도화 기술과 멀티 모달 및 상황 인지 기술 등이 여기에 속한다.
"인간·차량 상호 작용, 人間車輛相互作用, Human-Vehicle Interaction, HVI",,"안전 운전을 위한 운전자와 차량 간 상호 정보 교환 시스템. 차 안에 모든 정보 기기의 입출력을 제어할 수 있고, 운전자와 차의 상태를 실시간으로 파악하면서 운전자의 운전 부하를 최적화해 가장 안전한 방법으로 운전하도록 도와준다."
"인간·컴퓨터 모의 실험, 人間-模擬實驗, man-machine simulation",,인간이 참여하는 컴퓨터 시스템 모델에 대한 모의 실험. 이러한 모델 내에서는 사람이 협동 요소로서 존재할 가능성도 있다. 즉 모델은 컴퓨터를 중심으로 한다고 해서 완전히 컴퓨터만으로 되는 것이 아니라 인간의 능동적인 참여가 요구된다.
"인간·컴퓨터 상호 작용, 人間-相互作用, Human-Computer Interaction, HCI",동의어 : 인간과 컴퓨터와의 대화,"인간이 어떤 목적을 위해 컴퓨터와 주고받는 모든 행위, 또는 컴퓨터 시스템과 컴퓨터 사용자 사이의 상호 작용을 향상시키기 위한 효과적인 방법을 중점적으로 연구하는 학문. 인간이 컴퓨터를 이용하여 업무를 수행할 때 인간이 컴퓨터가 이해할 수 있는 언어로 이의 실행을 명령하면 컴퓨터는 이의 실행 결과를 인간에게 보여 주게 된다. HCI는 컴퓨터 그래픽스, 운영 체제, 인적 요소(human factors), 인간 공학, 산업 공학, 인지 심리학, 그리고 컴퓨터 과학 등 여러 분야가 융합된 학문이다.뇌-컴퓨터 인터페이스(BCI: Brain-Computer Interface)는 HCI의 세부 분야라고 간주할 수 있으며 보다 구체적으로 신경 세포의 신호 혹은 뇌파를 이용하여 외부 기기와 상호작용하려는 시도이다."
"인간 컴퓨터 인터페이스, 人間-, Man-Machine Interface, MMI",동의어 : Human-Computer Interface,"컴퓨터를 사용하기 위하여 사람이 컴퓨터와 접촉하고 상호 작용하는 경계 부분에 속하는 하드웨어, 소프트웨어 또는 규약을 총칭하는 용어. 그러나 일반적으로 프로그램과 운영 체계(OS)와 관련하여 말할 때는 사용자 인터페이스를 가리킨다."
"인간·컴퓨터 통신, 人間-通信, Man-Machine Communication, MMC",,인간과 컴퓨터가 대화 형식으로 정보 교환을 실행하는 것.
"인간형 로봇, 人間型-, humanoid robot",,"머리·몸통·팔·다리 등 인간의 신체와 유사한 형태를 지니면서, 움직이는 로봇의 일반적 명칭. 인간을 닮았다는 뜻으로 '사람(Human)'과 '∼와 같은 것(oid)'의 합성어이다."
"인간화한 입력, 人間化-入力, Humanized Input, HI",,데이터 폼 기입 프로세스를 자동화하여 비인간적 단순 작업의 경감과 데이터 품질의 향상을 꾀하는 입력 형태. 1970년대 중반 미국에서 비효율적이었던 각종 입력 방식에 대한 개선 기술로 제시되었다.
"인공 두뇌학, 人工頭腦學, cybernetics",,"미국의 수학자, 전기 공학자인 N. 위너가 제창한 생물체 및 기계의 제어와 통신 이론 및 기술을 종합한 과학. 생물체와 자동 기계의 통신과 제어의 일반 문제를 그 원리 면에서 취급하여 그 구성 부문으로서는 통신의 작성과 그 전송에 관한 통계 이론, 자동 제어의 기계계뿐만 아니라 생물체의 신경계, 감각 기관의 자동 제어적인 활동 과정을 위한 기능적 견지에서 연구하는 자동 제어 이론, 자동적으로 판단하여 행동을 택하는 논리 과정으로서의 연구를 중심으로 하는 자동 계산기의 이론 등이 있다."
"인공 생명, 人工生命, Artificial Life, Alife",,"인공 현실감에 속하는 기술의 일종으로, 소프트웨어적으로 가상 세계를 구축하고 그 안에서 서식하는 생물의 행동을 모의 실험하여 생물의 발생, 성장, 진화 과정, 생태계 등과 같은 생명 활동의 본질을 재현하는 것. 가상 세계에서 서식하는 생명체를 인공 생명 또는 인공 생물이라고 부른다. 생명 활동을 컴퓨터의 소프트웨어로 재현하는 또 다른 기술로는 인공 지능(AI)이 있다. 그러나 AI는 지능의 구조 자체를 이해하고, 자율적으로 판단하고 행동할 수 있는 인간과 같은 지능/의식을 갖는 시스템을 목적으로 한다는 점에서 인공 생명과는 다르다."
"인공 승객, 人工乘客, Artificial Passenger, AP",,"졸음운전을 방지하기 위해 자동차에 설치하는 장치. 운전자 경고용으로 반응할 수 있도록 대화, 농담, 질문 등을 한다. 마이크, 대화 생성기, 자동차 스피커를 사용하여 운전자와 대화를 나누며, 사진기는 표정을 보고, 음성 분석기로는 목소리의 상태를 분석한다. 또한, 운전자가 피곤해 하는 기색이 있으면 자동으로 창문을 열거나 버저를 울리거나 배경 음악 음량을 높이거나 차가운 물을 분사한다. IBM에서 만들었다."
