"1+1 주소, 一-一住所, one plus one address",동의어 : 1+1 번지,하나의 명령어가 연산자와 데이터 주소 및 다음 명령어 주소로 구성되는 아주 단순한 명령어 체계 또는 방식. 호출 시간이 짧고 계산 속도가 빠르다.
"3차원 디지타이저, 三次元-, three-dimensional digitizer, 3D digitizer",,"3차원의 형상을 수치로 데이터화하기 위한 장치. 예를 들면 석고로 대상물의 모양을 떠서 그 표면의 공간 좌표를 자기 감응기나 기타 기계식 장치로 읽은 3차원 디지타이저가 있고, 대상물에 직접 레이저 광을 비춰서 형상의 표면 모양까지 읽는 레이저 스캐너(laser scanner: 레이저를 이용해서 복잡한 형상을 수치 데이터화하는 장치)가 있다."
"3차원 레이더, 三次元-, three-dimensional radar, 3D radar",,"여러 목표들에 대한 3차원 위치(방위, 거리, 고도)의 정보를 얻을 수 있는 레이더."
"3차원 모형, 三次元模型, three-dimensional model, 3D model",,"3차원 표현을 하는 데 필요한 기본 구성 요소. 3차원 모델은 물체 형상(shape)의 개략적인 모양을 정의하는 모델축(model axis)을 정하고, 모델 구성 요소들의 상대적 크기와 축에 대한 공간적 배열, 이 축들과 관련된 형상(shape)에 대한 포인터 등을 정의함으로써 이루어진다."
"3차원 모형 표현, 三次元模型表現, 3D model representation",,모듈러와 계층적인 구조로 배열된 여러 가지 크기의 공간적 기본 연산자를 사용하여 물체의 형태에 대한 객체 지향적 표현을 하는 물체 표현 방법.
"3차원 방식 자기 코어 기억 장치, 三次元方式磁氣-記憶裝置, three-dimensional core storage",,"자기 코어 기억 장치의 하나로, 각각의 기억 셀(코어)에 주소 선택을 위한 선을 관통시키고 X선이나 Y선을 따라 기록용의 억지선을, 또 이들 선에 대해 45°의 각도로 판독선을 관통시켜 전류 일치 선택 방식으로 판독 및 기록을 하는 것."
"3차원 배열, 三次元配列, three-dimensional array, 3D array",,"개개의 항목 위치를 정하는 데 3개의 수(정수)를 사용하여 질서 정연하게 정보를 배치한 배열. 근본적으로 3차원 배열은 데이터를 행, 열 및 층으로 배치되어 있는 것과 같이 처리한다. 그래서 어떤 항목(예를 들면, B 지구 A 점포의 4월 매상고)을 그 항목의 행, 열, 층 번호에 의해 찾을 수 있다."
"3차원 빔 형성, 3次元-形成, Three-Dimensional Beamforming, 3D-BF",,배열 안테나를 수평과 수직으로 배치하여 3차원(3D) 빔(beam)을 형성하는 기법. &nbsp;3D 빔 형성 기법은 원하는 방향으로 예리한 빔을 만들어 안테나 이득은 물론 혼신을 최소화하고 수평과 수직 방향의 빔 형성이 가능하기 때문에 아파트나 고층 건물에 있는 이용자에게도 별도의 기지국 설치 없이 서비스가 가능하다. &nbsp;
"3차원 빗살형 필터, 三次元-形-, three-dimensional comb filter",,"비디오에 입력된 영상 신호로부터 디지털 메모리를 사용해 1프레임 분의 정보를 기억하고 앞의 프레임 정보와 가감하여 휘도 신호(Y)와 색 신호(C)를 완전히 분리하는 필터. 색 신호를 추출하는 종래의 방식과 달리, 휘도 신호와 색 신호를 분리하기 때문에 세로 방향의 도트 방해(점 형태의 백색 잡음)나 경사 방향의 교차 색상을 제거할 수 있다. 이 동작은 NTSC 표준 신호(NTSC 규격에 적합한 방송 신호, 레이저 디스크 등)중 정지화 부분에만 행해지며, 움직이는 부분에서는 프레임간 시간차에 의한 잔상 방지를 위해 2차원 처리로 순간 절체 한다."
"3차원 소자, 三次元素子, three-dimensional electron device, 3D electron device",,"3차원적인 입체형으로 회로를 구성하여 집적도를 높인 소자. 현재의 소자는 2차원적으로 회로를 구성한 것이나, 이것을 겹쳐 쌓아 3차원적으로 구성함으로써 집적도를 높이려 하고 있다."
"3차원 위치 음향, 三次元位置音響, 3D positional audio",,"한정된 수량의 스피커로 마치 사방에서 음이 들리는 것 같은 입체 음향 효과를 실현하는 음향 공학 기술. 마이크로소프트 윈도즈의 ‘DirectSound’ 기능의 일부로서, 소프트웨어적으로 음향 효과를 실현한 후에 사운드 카드에서 다시 하드웨어적인 지원을 시행함으로 실시간성이 향상된다."
"3차원 인터넷, 三次元-, Three-Dimensional Internet, 3D Internet",,"인터넷을 통해 실물에 가까운 정보를 얻을 수 있는 기술. 차세대 웹을 구현할 수 있는 기술로 궁극적인 목표는 현실화(reality)다. 세컨드 라이프와 같은 현실과 유사한 가상 세계를 만들고 나아가 질병을 진단하고, 새 에너지를 개발하며, 신뢰 높은 건축 도면을 설계하는 등 일상생활의 모든 분야까지도 적용이 가능한 기술이다."
"3차원 잡음 억압, 三次元雜音抑壓, three-dimensional noise reduction, 3DNR",,"순회형 색상 잡음 억압(CCNR) 방법의 하나. CCNR에서 신호는 상관관계가 있지만 잡음은 ‘랜덤’이라는 성질이 다른 것을 이용하여 잡음을 줄이고 있다. 예를 들면, 주사선 간의 상관관계를 이용하여 잡음 억압을 생각해 보면, 1개의 주사선을 지연 회로를 사용해서 지연시켜 다음 주사선과 중첩시킨다. 그렇게 하면 신호는 2배로 되는 반면, 잡음은 2의 제곱근인 1.4배밖에 되지 않는다. 이것을 2로 나누면 잡음은 0.7이 된다. 주사선 간의 처리는 화면에서는 상하, 좌우의 신호 처리와 유사한 것으로서 2차원의 잡음 억압이라 한다. 이에 대해 3차원은 화면에서만이 아니라 시간 방향의 처리도 이루어진다. 결국 30분의 1초 전의 화면(프레임) 사이에서 잡음 억압 처리를 한다. 이렇게 하려면 앞의 1화면분을 기억해 두지 않으면 안 되므로 보통은 화상 신호를 디지털화해서 반도체 메모리에 기억시킨다. 1화면을 기억하는 메모리를 ‘풀 메모리’라고 한다. 2차원이나 3차원 모두 화상 신호와 상관이 있다는 것을 전제로 한다."
"3차원 지리 정보 시스템, 三次元地理情報-, Three-Dimensional Geographical Information System, 3D GIS",,"3차원 모형화 기술을 적용한 지리 정보 시스템. 지형과 인공 시설물을 3차원 정보로 구축하고 지리 정보 시스템(GIS) 및 증강현실 기술과 연동하여 공간 정보를 저장, 처리, 가공, 분석하는 시스템이다. U-시티, 전자 학습, 내비게이션 등 다양한 분야의 핵심 기술로 적용이 확대되고 있다."
"3차원 집적 회로, 三次元集積回路, Three-Dimensional Integrated Circuit, 3D IC",,"2차원 구조의 반도체를 3차원 구조로 전환하여 제작한 집적 회로. 기존의 2차원 구조의 반도체는 30나노급 공정에 근접하면서 기술 발전의 한계에 봉착했다. 신호선의 간격이 좁아져서 생기는 리소그래피를 포함한 제조 기술 문제, 전기적 절연 문제, 신호 지연 시간 증가 문제, 그리고 신호 간섭 등의 문제가 그 원인이 되고 있다. 이러한 반도체 산업이 갖고 있는 기술과 생산성의 난관을 타개하기 위해 새롭게 제시되고 있는 기술이 3차원 집적 회로(3D IC) 기술이다. 또한 3D IC는 1개의 반도체에 프로세서, 메모리, 아날로그, 고주파, 센서, 전력 반도체를 집적화하여 시스템 반도체를 제작할 수 있다."
"3차원 캐드, 三次元-, 3D Computer-Aided Design, 3D CAD",,"3차원의 물체를 취급할 수 있는 컴퓨터 지원 설계(CAD). 3차원 모델링에는 물체를 선분(능선)으로 표시하는 선화(線畵) 모델링(wire frame modeling), 면의 조합으로 표시하는 표면 모델링(surface modeling), 표면과 알맹이의 정보를 취급하는 입체 모델링(solid modeling)의 3종류가 있다. 처리 속도와 용도에 따라 이 3종류를 적절히 활용하는데 3차원 CAD에서 문제가 되는 것은 모델링의 순서가 방대하고 복잡해지는 것이다. 단순한 입체를 조합해서 입력하는 방법과 2차원의 단면을 이동시켜 입력하는 방법을 사용하기도 한다. 3차원 CAD는 공업/건축 설계에서는 필수적이지만 제도 기능은 우수하지 못하여 제도 분야에서는 2차원 CAD, 2/5차원 CAD도 이용된다."
"3차원 표현, 三次元表現, three-dimensional representation, 3D representation",,"컴퓨터 도형에서, 물체를 X, Y, Z축을 이용하여 뜻매김한 표현 방법의 총칭. 표현 방법에 따라 와이어 프레임 표현, 표면 모형(surface model), 입체 모형(solid model) 등이 있다."
"3차원 화상 처리, 三次元畵像處理, Three-Dimensional Image Processing, TDIP",,"연산에 의해 3차원 그래픽을 묘화(描畵)하는 것. 멀리 있는 물체를 작게 하여 가까운 곳에 있는 물체인 것처럼 하거나, 광원이 비치고 있는 부분만을 밝게 하여 반사면을 어둡게 하거나, 물체의 재질을 실제와 비슷하게 표현하여 입체감을 나타내게 하는 수단이다."
"3 초과 부호, 三超過符號, excess 3 code",,"일부 전 세대 컴퓨터에서 쓰였던 부호. 각 비트에 가중값을 할당하지 않고, 10진 숫자에 대응된 이진화 십진 표기법(BCD)에 3을 더해서 얻어진다. 이 부호는 9의 보수를 쉽게 구할 수 있는 장점이 있다."
"3축 안정법, 三軸安定法, three-axis stabilization",,"인공위성 자세 제어 방식의 하나로, 요(yaw), 롤(roll), 피치(pitch)라고 부르는 3축의 회전력을 각각 제어함으로써 위성의 자세를 일정하게 유지하는 방식. 요(옆으로 흔들림)축은 지표에 수직이고, 롤(좌우로 흔들림)축은 요축에 수직이고 궤도면에 평행이며, 피치(앞뒤로 흔들림)축은 요축과 롤축에 각각 수직이 되게 한다."
"3항 연산자, 三項演算子, ternary operator",,"입력이 3개인 연산자. if-else 문을 함축한 조건 연산자가 이에 해당된다. 예를 들어, A ? B : C는 A라는 조건이 옳으면 B를 수행하고, 틀리면 C를 수행한다."
"4+1 주소, 四-一住所, four plus one address",동의어 : 4+1 번지,4개의 피연산자 주소와 1개의 제어 주소가 있는 명령에 사용되는 주소 방법.
"40/100 기가비트 이더넷, 40/100 Gigabit Ethernet, 40/100GbE",,"이더넷상에서 초당 40 또는 100 기가비트의 데이터 속도를 제공하는 미국 전기 전자 학회(IEEE) 이더넷 규격(IEEE 802.3ba-2010). 서비스 거리에 따라 수 미터를 지원하는 40G/100GBASE-CR4, 40G/100GBASE-KR4, 100GBASE-KP4, 수백 미터를 지원하는 40G/10GBASE-SR4, 100GBASE-SR10, 10 킬로미터(km)를 지원하는 40G/100GBASE-LR4, 40 킬로미터를 지원하는 40G/100GBASE-ER4 등 다양한 규격이 존재한다. 주로 40 GbE는 4 채널×10 기가비피에스(Gbps), 100 GbE는 4채널×25 Gbps 형태로 데이터를 전송한다. 전송 거리가 늘면서 근거리 통신망(LAN: Local Area Network)은 물론 도시권 통신망(MAN: Metropolitan Area Network), 광역 통신망(WAN: Wide Area Network) 및 무선 가입자망으로 영역이 확장되고 산업, 항공, 자동차, 국방, 방송 등 다양한 분야에 적용되고 있다."
"4D 프린팅, fourth dimension printing, 4D printing",동의어 : 환경 반응 입체 프린팅,"미리 설계된 시간이나 임의 환경 조건이 충족되면 스스로 모양을 변경 또는 제조하여 새로운 형태로 바뀌는 제품(object)을 3D 프린팅하는 기술. &nbsp;4D 프린팅을 위해서 온도, 습도, 진동 등 에너지에서 자극을 받으면 모양이 변하는 스마트 소재가 사용된다. 예를 들면, 물을 만나면 팽창되는 나무를 소재로 하는 입체 프린터(3D printer)로 코끼리 모양의 평면 설계도를 출력한다. 그리고 출력된 설계도를 물에 넣으면 저절로 입체 코끼리 모양으로 바뀐다. 4D 프린팅 기술은 2013년 테드(TED: Technology, Entertainment, Design) 강연에서 미국 MIT 자가조립연구소 스카일러 티빗츠(Skylar Tibbits) 교수에 의해 소개되었다. 4D 프린팅은 의료, 의류 등 다양한 분야에 활용될 수 있다. ※ 여기서, 4D(4th dimension)는 수학·물리의 4차원(4D: four-dimensional space)과 다르다."
"4G 주파수, 四-周波數, 4th Generation Frequency",,"4세대 이동 통신(4G) 주파수로 세계전파통신회의(WRC)에서 선정한 주파수. 총 4개의 주파수 대역으로 450 ~ 470㎒(20㎒) 대역, 470 ~ 806/862㎒ 대역, 2.3 ~ 2.4㎓(100㎒) 대역 및 3.4 ~ 3.6㎒(200㎒) 대역이 있다. 그중 470 ~ 806/862㎒ 대역을 제1지역(유럽·아프리카)은 790 ~ 862㎒ 대역, 제2지역(북·남미)은 698 ~ 806㎒ 대역, 제3지역(아시아·오세아니아)은 698 ~ 806㎒ 대역으로 정해졌다. 특히 2.3 ~ 2.4㎓ 대역 주파수는 우리나라에서 개발한 와이브로(Wibro) 주파수 대역으로, 와이브로 이동 통신 기술의 국제 표준과 함께 세계 공통의 주파수 대역으로 설정되었다."
"4K 해상도, -解像度, 4K Resolution",,"모니터의 해상도를 나타내는 단위로 가로 픽셀 수가 3840, 세로 픽셀 수가 2160인 영상의 해상도. 풀 HDTV(1920×1080)의 4배 이상의 초고화질의 영상을 말한다. HDTV 이후 차세대 텔레비전 규격인 UHDTV의 규격은 HDTV의 4배의 해상도를 가지는 4K, 16배의 해상도를 가지는 8K 해상도를 채택하고 있다."
"4단자망, 四端子網, four terminal network",,"4개의 단자를 가진 임의의 회로망에서 1쌍을 입력 단자, 다른 1쌍을 출력 단자라 할 때 회로망의 내용을 잘 알 수 없어도(이것을 블랙박스라고 한다) 입력 단자와 출력 단자의 4단자 정수를 알면 회로의 특성을 알 수 있는데, 이와 같은 회로망을 가리키는 말. 회로망 속에 전원이 포함된 것을 능동 4단자망, 전원이 없는 것을 수동 4단자망이라고 한다. "
"4분원 오차, 四分圓誤差, quadrantal error",,"무선 방위 측정 시 선체나 기체(機體)의 영향으로 나타나는 오차. 이 오차의 원인은 선체에 전파가 도달하면 여기에 와전류(渦電流)가 발생해서 이로 인해 자계가 도래 전파에 영향을 주게 되어 결국 방위 측정 시 오차를 일으키게 된다. 오차는 선수(船首) 및 선미(船尾) 방향으로부터 도래하는 전파에 대해서는 최소가 되고 선체 중간에서 최대가 되는데, 이 오차는 근본적으로 피할 수 없으므로 방위 측정 시에는 오차 수정 곡선을 만들어 보정하는 것이 최상의 방법이다."
"4선식, 四線式, four-wire system",,"시분할 방식에서 공통선 구성 방법의 하나로, 펄스의 전송 방향에 따라 전송로를 분리하는 방식. 이 방식에서 통화 손실의 보상은 공통선의 각 방향에 대해 통상의 광대역 증폭기로 쉽게 행해진다. 그러나 2선식에 비해 개폐 회로 수는 2배가 되어 3권선 변성기를 필요로 한다."
"4선식 교환, 四線式交換, four-wire switching",,"통화로 선택 접속을 2선으로 하는 교환을 2선 교환이라 하고, 4선으로 하는 교환을 4선 교환이라고 한다. 4선식은 송신 경로 정보와 수신 경로 정보를 2선씩 분리하는 방식으로 전송 손실 0dB로 전송할 수 있다."
"4선식 반송 방식, 四線式搬送方式, four-wire carrier system",,"전송 시스템에서 송신과 수신 신호를 별개의 채널을 이용하여 전송하는 방식. 송수신 양단에서 각각 2선식 반송 방식을 사용하며, 이 경우 증폭기에 의한 중계가 쉽고 전송 거리가 길며 전송 품질이 향상된다."
"4선식 중계기, 四線式中繼器, four-wire repeater",,음성 케이블 방식에 따른 4선식 회선의 선로 손실의 보상 또는 반송 단국 장치와 교환기를 연결하는 케이블이 길어서 손실 보상을 필요로 하는 경우에 사용하는 중계기.
"4선 회로, 四線回路, four-wire circuit",,"장거리 통신 회선에서 송화, 수화의 각 통화로에 독립된 전송 선로를 사용하는 방식."
"4세대 원자력 시스템, 四世代原子力-, Generation IV Nuclear Energy System, GEN-IV",,"현재 운영 중인 3세대 원자력 발전 시스템 이후에 도래할 차세대 원자력 발전 시스템. 높은 출력에다 저렴한 단가, 지속 가능한 친환경(Sustainable) 기술을 갖춘 차세대 원자력 시스템이다. 핵심 연구 분야는 소듐 냉각 고속로(SFR), 사용 후 핵연료 건식 처리 기술(Pyroprocessing) 연계 개발, 원자력 수소 생산을 위한 초고온 가스(VHTR)로 개발하는 것들이 있다."
"4세대 컴퓨터, 四世代-, fourth generation computer",,"대규모 집적 회로 (LSI), 초대규모 집적 회로(VLSI)를 사용한 컴퓨터의 호칭."
"4수소화 게르마늄, 四水素化-, Germanium tetrahydride, GeH4",,"태양 전지의 광전 변환 효율을 높이기 위한 핵심 소재. 게르만 (germane) 또는 모노게르만(monogermane) 가스라고 하며, 차세대 태양 전지로 각광받고 있는 다중 접합(Tandem) 구조의 태양 전지에 적용되어 태양광 중 적외선 영역의 빛 흡수를 크게함으로써 태양 전지의 전환 효율을 향상시킬 수 있는 화합물 소재이다."
"4위상 변조 방식, 四位相變調方式, four-phase modulation method",,"반송파의 위상 변이를 4개로 정의하고(예를 들어 0°, 90°, 180°, 270°) 각각의 위상 변이에 2 비트의 값을 할당하여 데이터를 송수신하는 변조 방식."
"4주소, 四住所, four address",동의어 : 4번지,"①한 명령에서 두 피연산자의 주소와 연산 결과의 주소, 다음에 수행할 명령의 주소를 모두 표시하는 방법. ②명령에서 연산과 4개 레지스터의 주소를 나타내는 방법."
"4 주소 명령어, 四住所命令語, four address instruction",동의어 : 4번지 명령,"주소부가 4개로 구성된 명령. 보통 2개의 피연산자 주소, 나머지 2개의 연산 결과를 저장하는 주소와 다음에 실행할 명령의 저장 주소로 구성된다."
"4 주소 부호, 四住所符號, four address code",동의어 : 4번지 부호,명령 부호의 하나로서 주소를 4개 가지고 있는 것. 보통 이와 같은 주소는 연산자의 출처와 결과의 행방 및 다음 명령의 출처를 나타낸다.
"4주파 양방향 송수신, 四周波兩方向送受信, four-frequency duplex",,2개의 중계기 간에서 그림과 같이 4개의 주파수를 써서 동시에 양방향 중계를 하는 중계 방식. 11GHz를 사용하는 방식에서 반사판을 사용할 경우의 송수신 양 장치 간의 전파의 우회(迂回) 간섭을 피하는 것이 목적이다.
"4주파 양방향 전신, 四周波兩方向電信, four-frequency duplex telegraphy",,"기호 주파수(mark frequency)와 간격 주파수(space frequency)를 조합하여 생기는 4개의 전신 부호를 각각 4개의 주파수로 표시하는 주파수 편이 전신이며, 이것으로 2개의 통신로를 구성하는 무선 전신."
"4중 전신 방식, 四重電信方式, quadruplex telegraph system",,하나의 회로를 사용하여 양방향으로 2개의 메시지를 동시에 독립적으로 전송하기 위해 구성된 모스 전신기 방식.
"4채널 스테레오, 四-, four channel stereophony",,"네 계통의 음향 신호를 써서 공간적인 인상을 형성하는 스테레오 방식. 네 계통의 신호를 4개의 독립된 전송로를 통해 4개의 재생계로 재생하는 디스크 판독(4-4-4) 방식과 신호를 인코더로 2 또는 3채널화하여 전송 또는 기록하고, 재생 측 디코더에서 4개의 신호로 변환하는 4-2-4 또는 4-3-4 매트릭스 방식이 있다. 4-2-4 매트릭스 방식은 2채널 스테레오 전송계 또는 기록계를 사용할 수 있는 장점이 있지만 스테레오 효과는 약간 저하된다."
"4파 혼합, 四波混合, Four wave mixing, FWM",,"광 시스템의 혼변조 왜곡. 일반 전자회로의 혼변조 왜곡(IMD)과 유사한 것으로, 비선형 매체에서 3개의 광파장이 상호작용하여 또다른 광파장을 생성하는 현상이다. 원래 파장과 인접하여 생성됨으로써 파장 분할 다중방식(WDM)에 영향을 미치는 광섬유 특성으로, 광채널을 감소시키고, 인접 체널 누화의 원인이 된다."
"5.1 채널 음향, 五點一-音響, 5.1 Channel Audio",,"청취자를 중심으로 전방의 왼쪽, 중간, 오른쪽과 후방의 왼쪽, 오른쪽에 5개의 스피커와 저음을 보강하기 위한 서브우퍼 1개(0.1)가 별도로 구성된 음향 시스템. 전방 좌우와 후방 좌우 스피커는 고정된 청취자의 입체 음향 효과 역할을 하고, 전방의 중앙 스피커는 이동하는 청취자에게도 화면 연기자의 대화를 전방 화면에 고정시키는 역할을 한다. 5.1 채널 사운드 방식으로는 AC-3 포맷으로 알려진 돌비 디지털(Dolby Digital) 5.1과 디지털 극장 시스템(DTS: Digital Theatre Systems)이 있다. 두 방식은 모두 극장용 사운드 시스템 용도로 개발됐으며, 디지털 비디오 디스크(DVD) 확산 추세에 발맞춰 홈시어터 시스템도 기본 지원한다. 5.1 채널 사운드는 기존 스테레오나 4 채널 사운드 출력과 다르게 소리를 채널별로 별도 채집, 녹음하기 때문에 재생 시 음장감이 뚜렷하며, 저음 부분이 별도 채널로 구성되어 서브우퍼를 통해 재생되므로 현장감도 우수하다."
"50 옴, 五十-, 50 Ohm",,"무선 주파수(RF) 시스템이나 측정기의 임피던스 표준의 하나. 아이크로파 공학에서, 전자파 에너지의 전력 전송(power transfer) 특성이 가장 좋은 임피던스 33옴과 RF 신호파형의 왜곡(distortion)이 가장 작은 임피던스 73옴을 고려하여 편의상 이의 중간인 50옴이 선택되었다고 한다. 임피던스 표준은 주로 사용되는 선로의 특성이나 회로의 특성에 따라 선정되는데 보통 음향 주파수에서는 전화선을 기준으로 600옴, 단파, 텔레비전 등(1GHz 이하)에서는 75옴이 기준이며, 이동 무선, 마이크로파 등(100MHz 이상)에서는 50옴을 사용한다. 저주파와는 달리 마이크로파에서는 전압이나 전류 측정은 방법이 어렵고 오차도 많으므로 전력 측정을 하게 되며, 이때 순저항 성분인 50옴이 기준이 된다."
"5-2 선택 부호, 五二選擇符號, two-out-of-five code",,"여러 가지 10진 숫자가 5개의 2진 숫자로 구성되는 2진수 표시로 표현되는 2진화 10진 표기법. 5개 가운데 2개는 한 쪽의 2진 숫자(예: 1), 나머지 3개는 다른 쪽의 2진 숫자(예: 0)를 취하도록 되어 있는 것. "
"56K 모뎀, 56K modem",,"한 방향의 전송 속도가 56 kbps인 모뎀. 인터넷 56K modem 다이얼 업 접속 용도로 개발되었다. 일반 모뎀은 아날로그 전화망의 양단에서 대향(對向)으로 사용되는데, 56K 모뎀은 디지털 회로에 연결하는 제품과 아날로그 전화 회선에 연결하는 제품을 함께 사용한다. 인터넷으로의 다이얼 업 접속에서는 아날로그 회선 측이 이용자, 디지털 회선 측이 인터넷 접속 사업자(provider)가 된다. 디지털 회선 측으로부터의 송신은 최고 56kbps이지만 아날로그 회선 측으로부터는 V.34 방식으로서 최고 33.6kbps이다. 56K 모뎀에는 현재 2가지 방식이 있는데, 미국 US Robotics사의 X2와 Rockwell Semiconductor System사의 K56flex이다. 물론 이들 모뎀은 펄스 부호 변조(PCM)에 기초를 두고 있으나 상호 접속성은 없다. 양사 간 아날로그 회선 측의 모뎀 제조자, 디지털 회로 측의 접속 서버의 제조자, 사업자를 둘러싼 경쟁이 확대되고 있다. 규격 표준화는 미국 전기 통신 공업 협회(TIA)나 국제 전기 통신 연합(ITU)이 추진하고 있는데, TIA는 1998년 6월, ITU는 1998년 7월에 규격(V.90)을 확정하였다."
"5단위 부호, 五單位符號, five level code, five unit code",,"인쇄 전신기(teleprinter) 등으로 한 문자를 표시하는 데 5개의 충격파를 사용한 전신 부호 형식의 하나. 보도(baudot) 부호 계통의 것이다. 이 방식은 대부분 직류식 인쇄 전신 장치에서 사용되며, 전송할 때는 1개의 스타트 임펄스와 5개의 캐릭터 임펄스 및 스타트 임펄스의 1.42배 길이인 스톱 임펄스로 구성한 5채널 인쇄 전신용의 부호가 사용된다."
"5세대 이동 통신, 五世代移動通信, 5th Generation, 5G",,"4세대 이동 통신에서 진화된 이동 통신이라는 의미로 사용되는 마케팅 명칭. 국제 전기 통신 연합(ITU)에서 정한 공식 명칭은 아이엠티 2020(IMT-2020)이지만, 이동 통신 시장에서는 세대로 구분하여 5세대(5G) 용어를 사용한다. 5G는 이동 통신 국제 표준화 단체인 3GPP의 기술 상표명(brand name)이기도 하다. 과거 4세대 이동 통신 기술에 대한 3GPP의 상표명은 엘티이(LTE), 엘티이 어드밴스트(LTE-Advanced), 엘티이 어드밴스트 프로(LTE-Advanced Pro)이다. 3GPP 표준 릴리즈(Release) 15부터는 LTE-Advanced Pro에 해당하는 표준과 새로운 무선 접속 기술인 엔알(NR: New Radio)에 해당하는 표준 모두에 대해 ‘5G’라는 로고와 상표명을 적용한다. 즉, LTE-Advance Pro를 포함하는 기술 표준 TS(Technical Specification) 36 계열과 NR을 포함하는 기술 표준 TS 38 계열 모두의 릴리즈 15 표준부터는 ‘5G’ 로고와 상표명을 사용한다. "
"5세대 이동통신 시스템, 五世代移動通信-, 5th Generation System, 5GS",동의어 : 5G 시스템,"5세대 이동통신(5G)에서 무선 접속망과 핵심망을 합한 전체 시스템. 이동통신 분야 사실 표준화 기구인 3GPP에서 정한 명칭이다. 5G 시스템(5GS: 5G System)은 5G 무선 접속망(NG-RAN)과 5G 핵심망(5GC)으로 구성된다. 이 시스템은 외부 패킷 데이터 망(PDN: Packet Data Network)과 연결하여 사용자에게 음성을 비롯한 다양한 형태의 데이터 서비스를 제공한다. 5GS는 기존 LTE와 연동(interworking)되며 와이파이(Wi-Fi) 등과 같은 non-3GPP 무선접속 기술과도 연결될 수 있다.일반적으로 이동 통신망은 단말에 이동 환경을 제공하는 무선 접속망(RAN: Radio Access Network)과 단말 데이터를 처리하고 다른 망과의 상호 연결 등을 제공하는 핵심망(CN: Core Network)으로 구성된다. 3GPP는 5G 이동통신망의 RAN 이름을 NG-RAN으로, NG-RAN에 연결되는 핵심망(CN)을 5G 핵심망(5GC: 5G Core Network)이라 하고, NG-RAN과 5GC를 합친 전체 시스템을 5G 시스템(5GS: 5G System)이라 이름을 붙였다.* LTE의 경우 5GS에 대응하는 명칭은 진화된 패킷 시스템(EPS: Evolved Packet System)이고, 이것은 E-UTRAN과 EPC로 구성되었다.5GS의 주요한 기술적 특징은 다음과 같다.- 사용자 평면과 제어 평면의 분리: 각 평면의 독립적인 증설과 진화, 유연한 망 전개를 가능하게 함- 기능 설계의 모듈화: 유연하고 효율적인 네트워크 슬라이싱(Network Slicing)을 가능하게 함- 적용 가능한 부분에 네트워크 기능(NF: Network Function) 간 처리 절차를 서비스로 정의: 절차를 서비스의 형태로 정의함으로써 하나의 네트워크 기능이 다른 네트워크 기능에 정의된 서비스를 재사용할 수 있도록 함"
"5세대 이동통신 핵심망, 五世代移動通信核心網, 5th Generation Core Network, 5GC","동의어 : 5G 코어네트워크, 5G 코어망","5세대 이동통신(5G)의 핵심망. 이동통신 분야 사실 표준화 기구 3GPP에서 정의한 공식 명칭이다. 5G 시스템(5GS: 5th Generation System)은 5G 핵심망(5GC)과 5G 무선 접속망(NG-RAN)으로 구성된다. 5G 핵심망(5GC)은 NG-RAN과 외부 패킷 데이터 망(PDN) 사이에 있으며 사용자에게 음성을 비롯한 다양한 형태의 데이터 서비스를 제공한다.3GPP는 5GC에 이동통신 업계의 새로운 기술 개념인 네트워크 기능 가상화(NFV: Network Function Virtualization) 기술과 소프트웨어 정의 네트워크(SDN: Software Defined Networking) 기술을 고려하여 다음과 같은 다양한 네트워크 기능(NF: Network Function)을 정의하고, 이 기능들로 5GC를 구성하도록 하였다. 따라서 엘티이(LTE) 핵심망(EPC)과 다르게 모든 기능들을 좀 더 유연하게 소프트웨어적으로 구현할 수 있다. - 접속과 이동성 관리 기능(AMF: Access and Mobility management Function)- 세션 관리 기능(SMF: Session Management Function)- 사용자 평면 기능(UPF: User Plane Function)- 정책 제어 기능(PCF: Policy Control Function)- 인증 서버 기능(AUSF: Authentication Server Function)- 통합 데이터 관리(UDM: Unified Data Management)- 응용 기능(AF: Application Function) - 네트워크 노출 기능(NEF: Network Exposure function)- 네트워크 저장소 기능(NRF: Network Repository Function)- 네트워크 슬라이스 선택 기능(NSSF: Network Slice Selection Function)이 기능들 중 NG-RAN과 기능적으로 연결되어 사용자 데이터를 전송하거나 제어하는 네트워크 기능은 AMF, SMF, UPF이다. AMF, SMF는 제어 평면(Control Plane)을 처리하고, UPF는 사용자 평면(User Plane)을 처리한다. LTE의 핵심망인 EPC(Evolved Packet Core)에서는 이동성 관리 장비(MME)가 제어 평면을, 서빙 게이트웨이(S-GW)와 패킷 데이터 네트워크 게이트웨이(P-GW)가 사용자 평면을 처리한다. EPC의 MME, S-GW, P-GW가 별도의 네트워크 요소로서 특정 장비 형태로 주로 구현된 반면, 5GC는 네트워크 기능(NF)들로 정의되어 있어서 EPC보다 좀 더 유연하고 가변적으로 구현될 수 있다. * 제어 평면(Control Plane): 통신 연결 설정 등 제어신호를 처리하는 개념적 평면* 사용자 평면(User Plane): 사용자의 음성 또는 데이터가 전달되는 개념적 평면"
